,NE,NW,Y+H,EM,WM,E,L,SE,SW
Commute,140.55,144.86,147.89,143.79,142.95,147.77,152.08,147.32,139.9
Education,104.81,107.28,114.31,115.35,107.86,101.12,123.35,116.31,113.48
Business,26.422,27.794,32.485,28.918,31.542,33.183,28.561,33.163,34.011
Shopping,178.49,181.48,184.49,193.09,175.07,193.39,137.27,176.93,193.11
Other escort,84.126,92.374,87.535,95.927,82.655,93.913,56.575,91.922,93.808
Visting friends,152.72,135.47,142.72,146.3,146.02,141.84,114,137.77,140.45
Other,226.46,216.89,253.13,252.82,222.97,231.14,193.81,249.86,270.28
