,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Commute,0.013276,0.012612,0.014414,0.012546,0.013266,0.012918,0.013273,0.012263,0.012511,0.0136,0.013609,0.011742
Education,0.012026,0.0091992,0.013796,0.0077087,0.011608,0.010159,0.0089943,0,0.012165,0.010592,0.013196,0.0086247
Business,0.0023457,0.0024801,0.0031489,0.0025653,0.0029026,0.0029026,0.0026869,0.0024187,0.0026534,0.0027686,0.0026563,0.0020497
Shopping,0.015698,0.014855,0.016026,0.016812,0.016944,0.016343,0.016897,0.017465,0.01496,0.016693,0.016227,0.017071
Other escort + personal,0.015202,0.014589,0.016289,0.016394,0.016445,0.016445,0.017391,0.016065,0.016351,0.017102,0.016113,0.014581
Entertainment,0.017242,0.017305,0.01868,0.019161,0.018738,0.018404,0.019459,0.019764,0.017324,0.018245,0.017734,0.018342
Other,0.0053139,0.0055373,0.0062183,0.0089891,0.0075331,0.0078632,0.0083651,0.010134,0.0078983,0.0064703,0.0055032,0.0051399
