start:,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Commute,0.014633,0.019741,0.023394,0.024547,0.030206,0.03183,0.028963,0.022208,0.0093255,0.0048475,0.0021485,0.0021519,0.003181,0.0044742,0.004163,0.0030604,0.0089643,0.014168,0.0091764,0.0046758,0.0050164,0.0059475,0.0078116,0.0078609
Education,0,0.00060553,0,0.0011536,0.00033118,0,0.00038459,0.0069903,0.020835,0.0047497,0.0010152,0.0014298,0.0020323,0.001321,0.0056389,0.018881,0.0041649,0.001753,0.00075566,0.0004139,0.00064878,0.00040752,0.00022696,0.00025495
Business,0.0020785,0.0017444,0.0011423,0.0021122,0.0029544,0.0025954,0.0029004,0.0022086,0.0013795,0.0021607,0.0017301,0.0016364,0.0019266,0.0019808,0.0016,0.0010429,0.00172,0.0014808,0.0011542,0.00088776,0.00090746,0.001149,0.00093363,0.0010701
Shopping,0.00073617,0.0011446,0.00029798,0.0004142,0.00048174,0.00028812,0.0010087,0.0011649,0.0017339,0.0093462,0.014723,0.014806,0.012795,0.012363,0.010689,0.0053448,0.0068511,0.005179,0.0061303,0.0065739,0.005347,0.0033118,0.0018021,0.00096339
Other escort,0.0042916,0.0035085,0.0034552,0.003645,0.0032564,0.0029208,0.003349,0.0057608,0.0058348,0.011228,0.010986,0.010499,0.010515,0.010118,0.0086731,0.0060745,0.0091005,0.0084252,0.007727,0.0079089,0.0073905,0.006868,0.0050842,0.004678
Visting friends,0.018268,0.013338,0.010298,0.0068642,0.001334,0.00083946,0.0017815,0.0015911,0.0013974,0.0056437,0.0065949,0.0073152,0.0080579,0.0079979,0.0073426,0.0050453,0.0076918,0.0081655,0.013273,0.017788,0.019012,0.021047,0.023487,0.024727
Other,0.0015979,0.0016032,0.0029167,0.0029479,0.0031215,0.0030415,0.0032979,0.0017617,0.0011787,0.0037089,0.0044863,0.0038462,0.0031763,0.0034307,0.0035783,0.0022359,0.0031921,0.0025125,0.0034679,0.003437,0.003363,0.0029539,0.002339,0.0021294
