,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Commute,0.034287,0.036406,0.03617,0.03656,0.034239,0.012074,0.0075247
Education,0.028814,0.030835,0.031217,0.02973,0.02823,0.00081484,0
Business,0.0066259,0.0077962,0.0078461,0.0075516,0.0064663,0.0022478,0.0013819
Shopping,0.031567,0.031593,0.030945,0.033371,0.037939,0.052997,0.029266
Other escort,0.016257,0.017145,0.017587,0.017493,0.017602,0.019101,0.0131
Visting friends,0.019844,0.020686,0.02277,0.023263,0.028303,0.038409,0.03868
Other,0.0075013,0.0074362,0.007557,0.0073517,0.0070117,0.0085729,0.0098339
