,length / miles,p( | mode = car driver)
Commute,8.761364433,0.21017702
Education,3.420948089,0.05867339
Business,20.11226291,0.0674306
Shopping,4.18799401,0.20336379
Other escort,5.093119516,0.12594607
Visting friends,8.520845594,0.10211212
Other,1.034703749,0.23139678
