,UC,UCT,RTF,RVHI
Commute,7.8011,8.7877,11.359,11.956
Education,2.5854,2.6977,3.6616,6.2346
Business,17.951,21.295,22.719,23.594
Shopping,3.28,4.0591,6.2719,7.3908
Other escort + personal,4.1867,5.2786,6.7997,7.8383
Entertainment,7.2806,8.816,10.487,11.779
Other,11.375,10.703,11.855,12.57
