,NE,NW,Y+H,EM,WM,E,L,SE,SW
Commute,7.841040218,7.896485932,7.831936573,9.048525704,8.706357489,10.86966468,7.855178443,10.23359182,8.115107249
Education,3.337318621,3.070231607,2.743120139,3.443964964,2.316597235,3.845896924,3.614477494,3.689818729,3.861967866
Business,27.07441006,19.51573685,19.74648026,25.65019741,19.96869129,24.71502725,14.03970353,18.50453579,23.47681675
Shopping,4.286590529,4.034998774,4.404332174,4.511849145,4.248840228,4.881645593,2.815939662,4.381014271,4.659661903
Other escort,5.241812651,4.673206527,5.211293439,5.227422404,5.1103841,6.628085001,4.206715005,5.333729621,5.997726268
Visting friends,8.022004407,8.70549049,8.69167782,9.50421023,7.929973783,10.29538816,9.65965159,10.67317244,10.0716095
Other,1.215448454,1.196847072,1.010706366,0.993892096,0.993134224,1.234404924,1.039520348,1.09889298,1.182162765
