,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Commute,0.027124,0.0288,0.028614,0.028922,0.027086,0.0095514,0.0059527
Education,0.022794,0.024393,0.024696,0.023519,0.022332,0.00064461,0
Business,0.0052416,0.0061674,0.0062069,0.0059739,0.0051154,0.0017782,0.0010932
Shopping,0.024972,0.024993,0.02448,0.026399,0.030013,0.041925,0.023152
Other escort + personal,0.028327,0.029557,0.03007,0.029846,0.029476,0.024214,0.021409
Entertainment,0.024668,0.026044,0.028332,0.027999,0.030936,0.042996,0.039363
Other,0.011091,0.010404,0.010556,0.010454,0.010697,0.014929,0.016693
