,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Commute,0.016786,0.015946,0.018225,0.015863,0.016773,0.016334,0.016782,0.015505,0.015818,0.017196,0.017206,0.014846
Education,0.015206,0.011631,0.017443,0.0097466,0.014677,0.012844,0.011372,0,0.015381,0.013392,0.016685,0.010905
Business,0.0029658,0.0031358,0.0039813,0.0032435,0.0036699,0.00367,0.0033972,0.0030581,0.0033549,0.0035006,0.0033586,0.0025916
Shopping,0.019848,0.018783,0.020263,0.021257,0.021424,0.020663,0.021364,0.022082,0.018915,0.021106,0.020518,0.021583
Other escort,0.0093712,0.0084793,0.0099419,0.0098476,0.0098907,0.009833,0.010927,0.0099589,0.010031,0.010463,0.010223,0.0093674
Visting friends,0.01556,0.015078,0.015861,0.017372,0.016333,0.015638,0.016851,0.01795,0.014563,0.015306,0.014281,0.017253
Other,0.004329,0.0042322,0.0043423,0.0056088,0.0046501,0.005003,0.0047383,0.0055956,0.0047975,0.0041168,0.0037609,0.0041503
