,NE,NW,Y+H,EM,WM,E,L,SE,SW
Commute,7.841,7.8965,7.8319,9.0485,8.7064,10.87,7.8552,10.234,8.1151
Education,2.5648,2.8192,2.3828,2.9244,3.0907,3.2105,2.9838,3.0311,3.1494
Business,27.074,19.516,19.747,25.65,19.969,24.715,14.04,18.505,23.477
Shopping,4.2866,4.035,4.4043,4.5118,4.2488,4.8816,2.8159,4.381,4.6597
Other escort + personal,5.1689,4.4442,5.2553,5.3307,5.0932,6.5283,3.9907,5.6172,5.7303
Entertainment,7.7585,8.0242,8.057,9.0767,7.976,9.7092,7.5245,9.5659,9.3505
Other,10,11.598,10.531,11.397,14.993,11.893,11.655,8.5615,12.289
