107,2,3750,7.94,111.1,33.78,0.0618,0.02282,132,154,0.69313
70,2,4250,8.28,999.9,33.83,0.1242,0.03132,88.6,88.4,0.53336
100,2,5500,1.09,6.4,59.33,0.654,0.02366,98,88,0.69761
134,2,4000,6.54,93.4,39.18,0.2549,0.0199,97,110.3,0.57477
144,2,3875,7.82,10.5,23.05,0.3647,0.01897,141.4,157.2,0.68769
66,2,2875,7.07,106.2,19.484,0.43515,0.016133,141,180.5,0.65887
362,2,4500,9.73,9.7,43.62,0.1984,0.016085,124.16,121.31,0.65424
1,2,4250,9.73,0,32.246,0.27335,0.022058,114.91,118.21,0.62634
100,2,5500,1.09,6.4,60.763,0.662,0.01996,92.9,90.2,0.68414
110,2,3250,9.59,145,22.77,0.295,0.01519,154.5,174.9,0.6632
123,2,3625,3.69,114.4,19.06,0.407,0.01499,154.1,188.5,0.70623
107,2,3625,8.19,114.7,29.97,0.0713,0.02206,144.2,180.4,0.7334
107,2,3625,8.19,112.5,29.61,0.0738,0.02195,146.4,183.9,0.73995
301,2,4750,9.73,9.7,39.846,0.14526,0.015889,132.14,128.92,0.66748
362,2,4750,9.73,9.7,39.846,0.14526,0.015889,133.57,130.28,0.67242
1,2,2750,9.45,0,15.993,0.56499,0.013095,164.44,216.37,0.72102
168,2,3125,9.7,121.6,22.9,0.346,0.01626,159.1,196.4,0.72276
139,2,3125,3.87,58.2,21.96,0.1688,0.01806,156.3,183.5,0.66873
177,2,4250,1,999,31.7,0.177,0.019,117,121.9,0.60227
74,2,2375,1,151.8,32.869,-0.1639,0.028583,133.2,173.8,0.66927
449,4,5250,9.34,9.7,41.91,0.1389,0.0185,129.37,129.37,0.70557
109,2,3625,3.58,114.1,22.8,0.3281,0.021832,144.53,188.78,0.7579
376,4,5000,9.34,9.7,36.23,0.1906,0.01746,149.8,146.83,0.73544
376,4,5000,9.34,9.7,36.23,0.1906,0.01746,154.17,139.1,0.72433
449,4,5250,9.34,9.7,41.91,0.0257,0.01961,145.1,133.09,0.7221
115,4,3625,3.61,135.2,39.36,0.5083,0.0125,149.7,179.2,0.79805
67,2,3375,9.99,140,25.23,0.43462,0.02154,96.3,120.4,0.55461
100,2,5500,1.07,6.4,69.473,0.0697,0.02814,104,111,0.77527
110,2,3250,9.59,145,24.91,0.2365,0.01816,147.8,172.9,0.67779
107,2,3750,8.19,112.5,29.92,0.076,0.02195,144.6,175.4,0.72823
376,4,5000,9.34,9.7,37.37,0.1842,0.01508,183.17,175.36,0.80124
376,2,5000,9.34,9.7,40.35,0.1324,0.01557,150.41,163.72,0.76533
376,4,5000,9.34,9.7,37.37,0.1842,0.01508,180.49,176.19,0.80086
376,2,5000,9.34,9.7,40.35,0.1324,0.01557,172.09,167.42,0.78911
376,4,5000,9.34,9.7,39.24,0.1493,0.01514,177.88,169.72,0.79207
376,4,5250,9.34,9.7,41.35,0.267,0.0137,176.19,156.12,0.79134
376,4,5250,9.34,9.7,41.51,0.2226,0.01403,170.51,157.45,0.78555
417,4,5500,9.34,9.7,37.68,0.0486,0.0214,163.72,159.48,0.79061
417,4,5500,9.34,9.7,37.68,0.0486,0.0214,165.92,158.8,0.7909
417,4,5500,9.34,9.7,37.68,0.0486,0.0214,158.8,153.53,0.7767
713,4,6000,9.34,9.7,45.71,-0.0555,0.0216,156.12,139.1,0.77676
