,UC,UCT,RTF,RVHI
Commute,1.91E+06,2.08E+06,4.10E+05,3.63E+05
Education,1.57E+06,1.52E+06,3.16E+05,2.58E+05
Business,3.61E+05,4.17E+05,1.07E+05,1.33E+05
Shopping,2.10E+06,2.60E+06,5.51E+05,5.28E+05
Other escort + personal,2.08E+06,2.56E+06,5.65E+05,5.67E+05
Entertainment,2.44E+06,2.89E+06,6.44E+05,6.20E+05
Other,7.89E+05,1.16E+06,3.12E+05,3.05E+05
