,UC,U C & T,RT,RV
Commute,147.63,150.24,137.4,123.88
Education,121.55,109.79,106.13,87.866
Business,27.912,30.119,35.815,45.207
Shopping,162.26,188.2,184.88,179.95
Other escort,75.405,93.277,93.074,85.494
Visting friends,129.7,144.13,139.12,136.72
Other,205.47,241.13,277.48,286.44
